Date,Open,High,Low,Close,Volume
2019-08-12,0.757800,0.757834,0.754711,0.755310,53343
2019-08-13,0.755373,0.758472,0.752281,0.756292,78319
2019-08-14,0.756344,0.756968,0.750435,0.750841,73494
2019-08-15,0.750841,0.752712,0.749693,0.751151,80804
2019-08-16,0.751174,0.754080,0.750486,0.753540,54399
2019-08-19,0.754159,0.754677,0.749783,0.750570,36204
2019-08-20,0.750576,0.751405,0.749316,0.750847,45228
2019-08-21,0.750830,0.754523,0.750480,0.752593,53815
2019-08-22,0.752485,0.753290,0.751033,0.751750,63313
2019-08-23,0.751738,0.753199,0.749681,0.752780,80432
2019-08-26,0.752344,0.754939,0.750801,0.754506,103549
2019-08-27,0.754506,0.756144,0.751834,0.752950,65187
2019-08-28,0.752921,0.753103,0.750863,0.751546,65714
2019-08-29,0.751558,0.753438,0.750818,0.752655,65434
2019-08-30,0.752666,0.754905,0.750013,0.751620,58636
2019-09-02,0.751140,0.751208,0.748447,0.750593,43829
2019-09-03,0.750587,0.750830,0.747245,0.749923,85232
2019-09-04,0.749929,0.756515,0.749378,0.756332,67143
2019-09-05,0.756338,0.758075,0.754945,0.755846,66648
2019-09-06,0.755915,0.759994,0.755572,0.759648,58039
2019-09-09,0.759065,0.761081,0.758887,0.759469,45698
2019-09-10,0.759446,0.761412,0.758075,0.760346,41018
2019-09-11,0.760346,0.761058,0.756762,0.758006,40247
2019-09-12,0.758018,0.758915,0.756401,0.757065,53188
2019-09-13,0.757083,0.757450,0.752712,0.752723,41258
2019-09-16,0.752768,0.757019,0.752768,0.755338,61022
2019-09-17,0.755338,0.755687,0.751897,0.755122,48814
2019-09-18,0.755122,0.755395,0.751309,0.752576,43788
2019-09-19,0.752570,0.755184,0.751484,0.754074,40750
2019-09-20,0.754080,0.754501,0.751846,0.753886,38140
2019-09-23,0.754080,0.754478,0.751608,0.754011,37949
2019-09-24,0.754000,0.755744,0.753341,0.755236,41204
2019-09-25,0.755201,0.755572,0.752536,0.753767,43907
2019-09-26,0.753721,0.755789,0.753222,0.753790,41737
2019-09-27,0.753778,0.756796,0.753120,0.755532,44666
2019-09-30,0.755738,0.756201,0.754159,0.755310,42116
2019-10-01,0.755310,0.757048,0.752428,0.756578,54598
2019-10-02,0.756584,0.757249,0.750311,0.750554,47191
2019-10-03,0.750554,0.751354,0.749198,0.749873,47623
2019-10-04,0.749912,0.751948,0.749709,0.751767,50783
